DBN,SATmath,SATall
24Q267,413.0,406.3333333333333
24Q293,429.0,413.3333333333333
24Q296,323.0,317.0
24Q299,568.0,554.3333333333334
24Q455,440.0,401.0
24Q457,,
24Q485,420.0,403.6666666666667
24Q520,393.0,392.3333333333333
24Q530,409.0,354.6666666666667
24Q550,403.0,391.3333333333333
24Q560,447.0,443.3333333333333
24Q600,447.0,423.3333333333333
24Q610,496.0,454.6666666666667
24Q744,,
25Q252,498.0,465.3333333333333
25Q263,417.0,349.6666666666667
25Q281,463.0,423.6666666666667
25Q285,489.0,480.3333333333333
25Q425,451.0,414.3333333333333
25Q460,441.0,405.3333333333333
25Q467,373.0,365.0
25Q525,651.0,636.6666666666666
25Q540,382.0,389.3333333333333
25Q670,458.0,443.3333333333333
25Q792,421.0,392.3333333333333
26Q415,545.0,504.6666666666667
26Q430,539.0,491.3333333333333
26Q435,397.0,390.6666666666667
26Q495,523.0,483.0
26Q566,434.0,426.3333333333333
27Q260,385.0,381.6666666666667
27Q262,419.0,417.3333333333333
27Q302,401.0,385.3333333333333
27Q308,426.0,421.6666666666667
27Q309,379.0,364.6666666666667
27Q323,537.0,510.6666666666667
27Q400,371.0,369.3333333333333
27Q410,396.0,378.0
27Q475,404.0,384.6666666666667
27Q480,409.0,397.3333333333333
27Q650,491.0,448.3333333333333
28Q284,,
28Q310,445.0,421.6666666666667
28Q325,,
28Q338,408.0,392.6666666666667
28Q350,452.0,435.6666666666667
28Q440,497.0,469.0
28Q470,368.0,354.3333333333333
28Q505,413.0,398.0
28Q620,478.0,457.3333333333333
28Q680,523.0,512.6666666666666
28Q686,,
28Q687,660.0,622.6666666666666
28Q690,406.0,398.6666666666667
28Q896,445.0,438.6666666666667
29Q248,380.0,366.3333333333333
29Q259,397.0,391.0
29Q265,398.0,400.6666666666667
29Q272,427.0,429.0
29Q283,367.0,366.6666666666667
29Q326,,
29Q492,426.0,406.6666666666667
29Q494,377.0,379.6666666666667
29Q496,414.0,384.0
29Q498,381.0,383.6666666666667
30Q286,,
30Q301,440.0,418.3333333333333
30Q445,449.0,425.0
30Q450,420.0,406.0
30Q501,496.0,498.0
30Q502,434.0,413.0
30Q555,475.0,375.6666666666667
30Q575,492.0,490.0
30Q580,568.0,545.3333333333334
31R047,451.0,451.0
31R064,412.0,398.3333333333333
31R080,488.0,475.3333333333333
31R440,437.0,425.6666666666667
31R445,438.0,426.3333333333333
31R450,435.0,433.6666666666667
31R455,486.0,472.6666666666667
31R460,474.0,462.6666666666667
31R470,455.0,445.0
31R600,422.0,411.6666666666667
31R605,682.0,651.0
31R607,375.0,383.3333333333333
32K403,366.0,366.0
32K545,409.0,384.6666666666667
32K549,353.0,345.0
32K552,364.0,353.3333333333333
32K554,465.0,438.3333333333333
32K556,358.0,351.6666666666667
32K564,317.0,344.6666666666667
75K371,,
75M035,,
75Q256,,
75Q811,444.0,435.3333333333333
75R025,,
75X012,,
75X754,,
79M645,,
79Q950,400.0,440.6666666666667
79X490,370.0,365.6666666666667
